"Entidad_federativa","Nivel_educativo","Maestros","Escuelas","ciclo"
"Chihuahua","Secundaria",10599,966,"2015-2016"
"Chihuahua","Media superior",11410,648,"2015-2016"
"Chihuahua","Superior",12358,155,"2015-2016"
"Ciudad de México","Preescolar",13808,3627,"2015-2016"
"Ciudad de México","Primaria",32592,3201,"2015-2016"
"Ciudad de México","Secundaria",33226,1352,"2015-2016"
"Ciudad de México","Media superior",48488,663,"2015-2016"
"Ciudad de México","Superior",69768,460,"2015-2016"
"Durango","Preescolar",3665,1751,"2015-2016"
"Durango","Primaria",10252,2573,"2015-2016"
"Durango","Secundaria",7403,956,"2015-2016"
"Durango","Media superior",6327,344,"2015-2016"
"Durango","Superior",6141,88,"2015-2016"
